State,Department,Website,District,Block
Karnataka,Bagalkot-Rabkavi Banhatti-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Bagalkot,Rabkavi Banhatti
Karnataka,Bagalkot-Rural Development and Panchayat Raj - RDPR(Z.P),RTI_Online_Karnataka,Bagalkot,NA
Karnataka,Bagalkot-Terdala-Rural Development and Panchayat Raj(T.P),RTI_Online_Karnataka,Bagalkot,
Karnataka,Bagalkot-Urban Development Cell - DUDC,RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,Bagalkote - District Court,RTI_Online_Karnataka,Bagalkote,
Karnataka,Bagalkote-SSLR,RTI_Online_Karnataka,Bagalkote,
Karnataka,Ballari - District Court,RTI_Online_Karnataka,Ballari,
Karnataka,Ballari - District Institute for Education and Training(DIET),RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari - District Training Institute,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari - Office of The Deputy Director, Agricultural Marketing Department",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari - Office of The Deputy Director, Department of Tourism",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari - Office of The Deputy Director, District Treasury",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari - Office of The District Health and Family Welfare Officer,RTI_Online_Karnataka,Ballari,
Karnataka,"Ballari - Office of The District Skill Development Officer, Skill Development Department",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari - Office of The District officer, Minority Welfare Department",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari - Office of The Executive Engineer, Dept of Minor Irrigation and Ground Water Development",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari - Office of The Joint Director, District Industrial Centre, Dept of Ind & Comm",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari -Sub Regional Science Center,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari Medical College and Research Centre,Ballari",RTI_Online_Karnataka,ballari,NA
Karnataka,Ballari Urban Development Authority (BUDA),RTI_Online_Karnataka,BUDA,Not Applicable
Karnataka,Ballari- District Hospital,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Deputy Commissioner of Excise, Department of Excise",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Deputy Director, Department of Animal Husbandry and Veterinary Services",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Deputy Director, Department of Handlooms and Textiles",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Deputy Director, Department of Pre University Education",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Deputy Director, Department of Public Instruction",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Deputy Director, Department of Social Welfare",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Deputy Director, Department of Women and Child Development",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Joint Director, Department of Agriculture",RTI_Online_Karnataka,Ballari,Not Applicable
